Регион,Округ,Код участка,Адрес,Абаев Герман Борисович,Ящук Александр Михайлович,Лоев Семён Владимирович,Байр Марк Михайлович,Бредихин Антон Викторович,Данилова Анна Геннадьевна,Бабошина Алина Олеговна,ср
Москва,Список,77.054.7,"город Москва, улица Лескова, дом 25А (ГБПОУ г.Москвы ""Московское среднее специальное училище Олимпийского резерва №4  им.А.Я.Гомельского (техникум)"")",143,142,143,141,143,143,143,"142,5714286"
Москва,Список,77.061.20,"город Москва, улица Бестужевых, дом 1 (ГБОУ ""Школа № 1411"")",143,141,142,142,142,142,142,142
Москва,Список,77.054.29,"город Москва, Мурановская улица, дом 10Г (ГБОУ г.Москвы ""Школа № 1412"", шк.отд. №3)",0,165,165,165,165,165,165,"141,4285714"
Москва,Список,77.017.7,"город Москва, ЗАО, район Внуково, Внуковская Б. ул, дом 4 (ГБОУ Школа №41 имени Г. А. Тарана)",141,141,141,141,141,141,143,"141,2857143"
Москва,Список,77.094.20,"город Москва, улица Полбина, дом 44 (ГБОУ ""Школа № 1256"")",141,141,141,141,141,141,142,"141,1428571"
Москва,Список,77.065.8,"город Москва, 9-я Северная линия, дом 1, корпус 2 (ГБОУ ""Школа №709"")",2,164,164,164,164,165,164,141
Москва,Список,77.054.35,"город Москва, улица Лескова, дом 8А (ГБОУ г.Москвы ""Школа №953"", шк.отд. №4)",0,165,164,164,164,164,165,"140,8571429"
Москва,Список,77.064.9,"город Москва, улица Тихомирова, дом 6 (Структурное подразделение ""Средняя общеобразовательная школа"" ГБПОУ ""1-й МОК"")",0,164,164,165,165,164,164,"140,8571429"
Москва,Список,77.031.42,"город Москва, город Зеленоград, корпус 2034 (нежилое помещение №24)",198,0,198,197,195,0,197,"140,7142857"
Москва,Список,77.118.7,"город Москва, Кленовый бульвар, дом 7 (Добровольная народная дружина)",140,140,140,140,140,140,142,"140,2857143"
Москва,Список,77.061.17,"город Москва, Алтуфьевское шоссе, дом 42Б (ГБОУ ""Школа № 1411"")",2,164,162,162,162,163,165,140
Москва,Список,77.073.15,"город Москва, Новохорошевский проезд, дом 12 (ГБОУ Школа №1560 ""Лидер"")",142,140,139,139,139,139,139,"139,5714286"
Москва,Список,77.073.22,"город Москва, улица Народного Ополчения, дом 27, корпус 2 (ГБОУ Школа № 1515)",141,140,139,139,139,139,140,"139,5714286"
Москва,Список,77.049.15,"город Москва, Клинская улица, дом 22 (ГБОУ г.Москвы «Школа № 1474»)",191,1,196,196,196,1,195,"139,4285714"
Москва,Список,77.097.14,"город Москва, 3-й Кожуховский проезд, дом 3А (ГБОУ города Москвы ""Школа №2129"" им. Героя Советского Союза П.И.Романова)",139,139,139,139,139,139,139,139
Москва,Список,77.073.33,"город Москва, бульвар Генерала Карбышева, дом 9, корпус 2 (ГБОУ Школа №138)",153,137,136,136,136,138,136,"138,8571429"
Москва,Список,77.061.29,"город Москва, улица Пестеля, дом 8Г (ГБОУ ""Школа № 1554"")",1,161,161,161,161,162,163,"138,5714286"
Москва,Список,77.052.3,"город Москва, Путевой проезд, дом 10А (ГБОУ Школа № 305)",1,162,161,161,161,161,161,"138,2857143"
Москва,Список,77.054.34,"город Москва, Шенкурский проезд, дом 8Г (ГБОУ г.Москвы ""Школа №953"", шк. корп. №3)",1,161,161,161,161,162,161,"138,2857143"
Москва,Список,77.038.7,"город Москва, Ленинградское шоссе, дом 56А (ГБОУ дополнительного професиионального образования города Москвы ""Центр патриотического воспитания и школьного спорта"")",192,0,194,194,192,0,194,138
Москва,Список,77.061.47,"город Москва, Берёзовая аллея, дом 15Б (ГБОУ ""Школа № 950"")",2,161,160,160,160,160,162,"137,8571429"
Москва,Список,77.064.30,"город Москва, улица Тихомирова, дом 10 (Структурное подразделение ""Средняя общеобразовательная школа"" ГБПОУ ""1-й МОК"")",138,139,137,136,138,137,136,"137,2857143"
Москва,Список,77.054.42,"город Москва, Алтуфьевское шоссе, дом 94 (ГБОУ г.Москвы ""Школа Глория"", корпус 3)",1,159,159,160,159,160,159,"136,7142857"
Москва,Список,77.064.21,"город Москва, Осташковская улица, дом 30, корпус 2 (Структурное подразделение №10 ГБОУ Школа № 283)",0,159,159,159,159,159,159,"136,2857143"
Москва,Список,77.056.6,"город Москва, Новгородская улица, дом 21А (здание структурного подразделения № 1  ГБОУ Школа № 1430)",136,136,136,136,135,135,138,136
Москва,Список,77.054.27,"город Москва, Мурановская улица, дом 8Б (ГБОУ г.Москвы ""Школа № 1412"", шк.от. №2)",1,157,157,158,157,157,157,"134,8571429"
Москва,Список,77.066.15,"город Москва, Сухонская улица, дом 3 (ГБОУ Школа № 1568 имени Пабло Неруды, структурное подразделение № 4)",0,157,157,157,157,157,157,"134,5714286"
Москва,Список,77.054.24,"город Москва, Мурановская улица, дом 4А (ГБОУ г.Москвы ""Школа № 1412"", шк.отд. №1)",2,156,156,156,156,156,157,"134,1428571"
Москва,Список,77.073.5,"город Москва, Карамышевская набережная, дом 22, корпус 2 (ГБОУ Школа № 1560 ""Лидер"")",167,128,128,128,128,128,128,"133,5714286"
Москва,Список,77.116.6,"город Москва, Кантемировская улица, дом 22, корпус 4 (ГБОУ ""Школа № 2000 здание №3"")",133,135,132,132,132,133,135,"133,1428571"
Москва,Список,77.054.43,"город Москва, Алтуфьевское шоссе, дом 94 (ГБОУ г.Москвы ""Школа Глория"", корпус 3)",139,85,142,140,141,141,140,"132,5714286"
Москва,Список,77.119.8,"город Москва, Симферопольский бульвар, дом 29, корпус 1, строение 1 (ГБУ города Москвы ""Жилищник Нагорного района"")",133,132,132,132,132,132,132,"132,1428571"
Москва,Список,77.117.7,"город Москва, Нагатинская набережная, дом 24 (ГБОУ Школа № 1375)",132,132,132,132,132,132,132,132
Москва,Список,77.061.43,"город Москва, Отрадная улица, дом 11А (ГБОУ ""Школа № 950"")",3,153,153,153,153,154,153,"131,7142857"
Москва,Список,77.054.21,"город Москва, улица Конёнкова, дом 10А (ГБОУ г.Москвы ""Школа ""Многопрофильный комплекс Бибирево"", шк.отд. №2)",1,152,151,152,151,152,152,"130,1428571"
Москва,Список,77.054.11,"город Москва, улица Корнейчука, дом 37А (ГБОУ г.Москвы ""Школа Глория"", корпус 11)",2,151,151,151,151,151,151,"129,7142857"
Москва,Список,77.066.5,"город Москва, Ясный проезд, дом 10, корпус 3 (ГБОУ СОШ № 285, школьное отделение № 4)",1,151,151,151,151,151,151,"129,5714286"
Москва,Список,77.069.47,"город Москва, Новотушинский проезд, дом 8, корпус 2 (ГБОУ города Москвы ""Школа № 1538"")",130,129,129,129,129,129,129,"129,1428571"
Москва,Список,77.069.49,"город Москва, Новотушинский проезд, дом 8 (ГБОУ города Москвы ""Школа № 1538"")",129,130,129,129,129,129,129,"129,1428571"
Москва,Список,77.119.5,"город Москва, Чонгарский бульвар, дом 17 (ГБОУ города Москвы ""Школа №2016"")",129,129,129,129,129,129,130,"129,1428571"
Москва,Список,77.054.33,"город Москва, Шенкурский проезд, дом 8Г (ГБОУ г.Москвы ""Школа №953"", шк. отд. №3)",0,150,150,150,150,150,150,"128,5714286"
Москва,Список,77.056.14,"город Москва, Новгородская улица, дом 12 (здание структурного подразделения № 1  ГБОУ Школа № 1416)",128,128,128,128,128,128,128,128
Москва,Список,77.061.26,"город Москва, улица Бестужевых, дом 25Б (ГБОУ ""Школа № 1411"")",1,149,149,148,148,152,148,"127,8571429"
Москва,Список,77.065.5,"город Москва, 3-я Северная линия, дом 17 (ДК ""Северный"")",128,127,129,128,128,127,128,"127,8571429"
Москва,Список,77.116.11,"город Москва, Кантемировская улица, дом 22, корпус 5 (ГБОУ ""Школа № 2000 здание №2"")",128,128,128,127,127,127,127,"127,4285714"
Москва,Список,77.054.12,"город Москва, улица Корнейчука, дом 55А (ГБОУ г.Москвы ""Колледж связи №54"" им. П.М.Вострухина, уч.корп.11-Юный Автомобилист)",2,148,148,148,148,148,148,"127,1428571"
Москва,Список,77.114.17,"город Москва, Варшавское шоссе, дом 12 (ГБОУ Школа № 630)",127,128,127,126,127,127,127,127
Москва,Список,77.061.11,"город Москва, Алтуфьевское шоссе, дом 30А (ГБОУ ""Школа № 962"")",0,148,147,147,147,147,148,"126,2857143"
